FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),BlurTop,BlurFront,Score,_SelectionMode,Weight (g)
fish15,3351,167.55,20.0,20.0,20.511113666352777,1.539608319600423,4.572383227111756,25.434601971633416,43.09147278554701,443.305928110457,263.7090526648521,719.9549807753092,within,9.61
fish15,3352,167.6,20.0,20.0,20.511113666352777,1.539608319600423,4.572383227111756,25.434601971633416,43.09147278554701,443.13385345767927,263.7092935502688,719.7831470079482,within,9.61
fish15,3353,167.65,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,25.25421472360765,42.662764236497175,443.0027336660125,263.7092935502688,719.6120272162813,within,9.61
fish15,3354,167.7,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,25.25421472360765,42.662764236497175,442.8859628326791,263.71229485235216,719.4582576850313,within,9.61
fish15,3355,167.75,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,25.434601971633416,42.88399025263049,442.8542006799014,263.7124120398521,719.5266127197535,within,9.61
fish15,3356,167.8,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,25.434601971633416,42.88399025263049,442.8099385271236,263.7126203731854,719.4825589003091,within,9.61
fish15,3357,167.85,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,25.434601971633416,42.88399025263049,442.7738968604569,263.71235995651875,719.4462568169756,within,9.61
fish15,3358,167.9,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,25.434601971633416,42.88399025263049,435.8817354021237,263.4156932898522,712.2774286919758,within,9.61
fish15,3359,167.95,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,24.95356931023137,42.48360611742485,435.7640791521237,263.4156932898522,711.879772441976,within,9.61
fish15,3360,168.0,20.0,20.0,20.511113666352777,1.3775442859582736,4.572383227111756,24.15184820789462,41.519547450595375,435.7051294993458,263.32461256068547,711.5497420600313,within,9.61
fish15,3361,168.05,20.0,20.0,20.511113666352777,1.3775442859582736,4.572383227111756,24.232020318128296,41.56958244706607,435.7746260271237,263.32461256068547,711.7192385878092,within,9.61
fish15,3362,168.1,20.0,20.0,20.511113666352777,1.3775442859582736,4.572383227111756,24.232020318128296,41.56958244706607,435.74532047156816,263.32461256068547,711.6299330322536,within,9.61
fish15,3363,168.15,20.0,20.0,20.511113666352777,1.3775442859582736,4.572383227111756,24.232020318128296,41.56958244706607,435.7013447771236,263.32485344610217,711.6061982232258,within,9.61
fish15,3364,168.2,20.0,20.0,20.511113666352777,1.3775442859582736,4.572383227111756,24.232020318128296,41.56958244706607,435.7160409576792,263.32485344610217,711.6208944037814,within,9.61
fish15,3370,168.5,20.0,20.0,19.55710837954567,1.539608319600423,4.572383227111756,24.51262270394616,40.594420690333045,435.8821173465681,263.3249315711022,711.7870489176704,within,9.61
fish15,3372,168.6,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,24.81326811732244,41.04886722123912,435.77920936045695,263.3248859981855,711.8640953586424,within,9.61
fish15,3373,168.65,20.0,20.0,20.03411102294922,1.539608319600423,4.572383227111756,25.49473105430868,41.70600143587242,435.8001034576792,263.3248859981855,712.3049894558645,within,9.61
fish15,3374,168.7,20.0,20.0,20.03411102294922,1.620640336421498,4.572383227111756,25.635032247217605,41.26305689944647,435.7967701243459,263.3252310502688,712.2420011746148,within,9.61
fish15,3376,168.8,20.0,20.0,19.55710837954567,1.620640336421498,4.245784425175203,25.13395655825714,40.7161573449986,445.12940033267927,263.32548495651884,721.1748852891981,within,9.61
fish15,3377,168.85,20.0,20.0,20.03411102294922,1.620640336421498,4.245784425175203,25.75529041256812,41.49914450220059,445.003115610457,263.32557610235216,721.1686917128092,within,9.61
fish15,3378,168.9,20.0,20.0,20.03411102294922,1.539608319600423,4.245784425175203,25.09387050314029,41.16397148655922,444.97417463823473,263.32555006068543,720.8797246989202,within,9.61
fish2,11,0.55,20.0,20.0,23.791921926806538,3.824644110534104,75.56251851130165,60.12944871505666,51.828496986702646,437.1352938259548,269.50751299841147,716.8628068243663,within,16.0
fish2,15,0.75,20.0,20.0,24.305528310358337,3.0835266329611866,58.47099646707865,55.34136298404289,51.36745859315454,436.5093126518345,269.62040362341145,716.209716275246,within,16.0
