FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced
fish2,16.0,6305,315.25,20.0,20.0,7.887455753207306,5.384250970281981,3.8666666666666667,32.66970041714068,22.145036526243388,885,744,27.437691813132208,10.046139320203993,55.1838311333362,87.5,64.3,65.9,49.4
fish2,16.0,6310,315.5,20.0,20.0,8.373622742330133,4.868385315308217,4.133333333333333,30.52711414486158,21.56071136170023,836,647,27.441845507511097,10.040315754943425,54.202161262454524,87.5,64.3,65.8,49.5
fish2,16.0,6350,317.5,20.0,20.0,87.91127788804671,16.391323551282827,3.2,1156.067500948047,191.0209798127228,5979,529,27.62498654964117,9.996090460364025,157.20107701000518,87.6,64.4,65.9,49.3
fish2,16.0,6355,317.75,20.0,20.0,87.91127788804671,16.391323551282827,3.2,1148.7106560485397,190.91563113318313,6077,540,27.614769641998667,9.9964485282792,159.15121817027787,87.6,64.4,65.9,49.3
fish2,16.0,6360,318.0,20.0,20.0,87.91127788804671,16.391323551282827,3.2,1123.7580583996964,190.13956080938482,6235,554,27.558736625596023,9.993177042600843,162.25191366819686,87.5,64.4,65.9,49.3
fish2,16.0,6365,318.25,20.0,20.0,88.0875785701316,16.357250202643524,3.0666666666666664,1110.8456579446338,189.57988759799656,6441,529,27.571332132052202,9.978577434529198,166.36990956658138,87.5,64.4,65.9,49.3
fish2,16.0,6370,318.5,20.0,20.0,87.01488168758306,16.391323551282827,3.0666666666666664,1071.1224876753886,187.04836901972263,6255,529,27.603975376082058,10.096240197489001,162.80021557357105,87.5,64.4,66.0,49.4
fish2,16.0,6375,318.75,20.0,20.0,87.01488168758306,16.391323551282827,3.0666666666666664,1065.396283655669,186.73026814676362,6302,538,27.595008210283442,10.053619771152073,163.68862798143553,87.5,64.3,65.9,49.4
fish2,16.0,6380,319.0,20.0,20.0,77.37373156444137,16.35756517386143,2.933333333333333,1014.1259006446718,172.10261518195708,6026,494,27.74049415388696,10.05846025203069,158.31895440591765,87.4,64.3,65.9,49.3
fish2,16.0,6385,319.25,20.0,20.0,77.31455263259342,16.071180565403942,3.0666666666666664,1021.7861205915812,172.33291114221402,5863,479,27.750889166768392,10.05946610510084,155.07035527186923,87.4,64.1,65.9,49.4
