FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px
fish01,front,3460,ClassicCV,4336.5,96.75098419189453,59.330482482910156,271.1787123680115
fish01,front,3461,ClassicCV,4263.5,96.13897705078125,59.29883575439453,275.5218588113785
fish01,front,3462,ClassicCV,4191.5,96.87362670898438,57.27565002441406,270.0071395635605
fish01,front,3463,ClassicCV,4049.5,96.93753814697266,56.97553253173828,270.69343173503876
fish01,front,3464,ClassicCV,4037.0,94.11136627197266,56.97553253173828,268.93607246875763
fish01,front,3465,ClassicCV,3999.5,93.82872009277344,56.902915954589844,267.8650048971176
fish01,front,3466,ClassicCV,3972.0,93.94495391845703,56.80575180053711,268.10764503479004
fish01,front,3467,ClassicCV,3883.5,89.92147827148438,55.43400573730469,260.3502856492996
fish01,front,3468,ClassicCV,3802.5,89.58949279785156,54.14936065673828,259.86500465869904
fish01,top,144,ClassicCV,2642.5,87.64921569824219,47.463470458984375,237.58073377609253
fish01,top,145,ClassicCV,2672.5,87.93047332763672,45.4946174621582,236.7523069381714
fish01,top,146,ClassicCV,2728.5,87.6246566772461,45.702911376953125,236.26702558994293
fish01,top,147,ClassicCV,2728.5,88.27667999267578,47.13014221191406,242.7523069381714
fish01,top,148,ClassicCV,2696.5,88.1982192993164,47.04969024658203,241.58073389530182
fish01,top,149,ClassicCV,2765.5,89.0,48.0,239.23758792877197
fish01,top,150,ClassicCV,2756.0,88.0912857055664,47.531272888183594,235.33809328079224
fish01,top,151,ClassicCV,2665.5,88.0,46.0,237.4385986328125
fish01,top,152,ClassicCV,2668.0,87.0,46.0,239.19595801830292
fish01,top,153,ClassicCV,2565.0,86.0,47.0,234.5096663236618
fish01,top,154,ClassicCV,2596.0,86.0,47.0,235.6812391281128
fish01,top,155,ClassicCV,2660.5,87.0,45.0,230.7523068189621
fish01,top,156,ClassicCV,2687.5,86.0,43.0,227.78174436092377
fish01,top,157,ClassicCV,2741.5,86.0,43.0,227.4385987520218
fish01,top,158,ClassicCV,2716.0,85.43826293945312,44.779537200927734,229.6812391281128
fish01,top,159,ClassicCV,2708.5,83.62894439697266,48.299068450927734,229.09545290470123
fish01,top,160,ClassicCV,2663.5,82.35697937011719,51.29935836791992,245.92387998104095
fish01,top,161,ClassicCV,2631.5,82.22666931152344,50.3003044128418,242.26702570915222
fish01,top,162,ClassicCV,2624.0,82.0,51.0,247.68123936653137
fish01,top,163,ClassicCV,2603.0,87.52427673339844,46.77569580078125,236.50966620445251
fish01,top,164,ClassicCV,2685.5,87.44983673095703,46.32190704345703,234.26702570915222
fish01,top,165,ClassicCV,2674.5,87.48255920410156,45.60388946533203,234.26702570915222
fish01,top,166,ClassicCV,2699.5,76.50297546386719,52.100181579589844,235.78174448013306
fish01,top,167,ClassicCV,2739.5,77.0,52.0,235.09545278549194
fish01,top,168,ClassicCV,2752.0,77.0,52.0,235.33809340000153
fish01,top,169,ClassicCV,2674.0,77.16850280761719,50.979190826416016,228.8528118133545
fish01,top,170,ClassicCV,2619.0,84.92237854003906,44.53931427001953,228.16652059555054
fish01,top,171,ClassicCV,2615.0,76.42108917236328,51.40147399902344,228.85281217098236
fish01,top,172,ClassicCV,2594.0,75.92161560058594,51.35606384277344,231.68123924732208
fish01,top,173,ClassicCV,2541.0,74.36994171142578,52.31821060180664,240.85281205177307
fish01,top,174,ClassicCV,2567.5,75.86894989013672,52.148590087890625,240.2670258283615
fish01,top,175,ClassicCV,2463.0,74.33032989501953,52.14500427246094,245.6812391281128
fish01,top,176,ClassicCV,2502.5,74.23931121826172,54.683589935302734,247.58073377609253
fish01,top,177,ClassicCV,2462.5,75.30750274658203,55.380435943603516,247.9238796234131
fish01,top,178,ClassicCV,2603.5,86.13746643066406,49.570556640625,248.26702570915222
fish01,top,179,ClassicCV,2606.0,87.41703033447266,47.49486541748047,251.33809351921082
fish01,top,180,ClassicCV,2513.5,87.91998291015625,42.711917877197266,242.7523068189621
fish01,top,181,ClassicCV,2485.5,85.70800018310547,44.40443420410156,235.5807340145111
fish01,top,182,ClassicCV,2430.5,84.0761489868164,46.0629997253418,233.92387998104095
fish01,top,183,ClassicCV,2455.5,80.62214660644531,50.15906524658203,241.23758804798126
fish01,top,184,ClassicCV,2523.0,85.44874572753906,47.60625076293945,240.16652047634125
fish01,top,185,ClassicCV,2470.0,84.41580200195312,45.68384552001953,232.99494767189026
fish01,top,186,ClassicCV,2450.5,83.79405212402344,43.681251525878906,229.5807340145111
fish01,top,187,ClassicCV,2461.0,83.47435760498047,43.407691955566406,231.6812391281128
fish01,top,188,ClassicCV,2486.0,84.29676818847656,43.356292724609375,230.85281229019165
fish01,top,189,ClassicCV,2473.5,83.52576446533203,42.91939163208008,230.7523069381714
fish01,top,190,ClassicCV,2442.5,83.67786407470703,44.300048828125,231.92387986183167
fish01,top,191,ClassicCV,2417.5,83.07962799072266,45.24379348754883,231.58073389530182
fish01,top,192,ClassicCV,2365.5,84.44023132324219,45.60749816894531,239.23758840560913
fish01,top,193,ClassicCV,2287.0,82.07339477539062,42.595333099365234,234.5096663236618
fish01,top,3417,ClassicCV,1310.0,51.08452606201172,38.87805938720703,160.56854152679443
fish01,top,3418,ClassicCV,1289.5,52.19488525390625,36.39276123046875,159.15432798862457
fish01,top,3419,ClassicCV,1350.5,53.07278060913086,38.78702163696289,163.982754945755
fish01,top,3420,ClassicCV,1429.0,54.157466888427734,39.30857467651367,168.2253955602646
fish01,top,3421,ClassicCV,1434.5,56.36174774169922,37.44066619873047,162.81118202209473
fish01,top,3422,ClassicCV,1423.0,56.0,37.0,162.2253954410553
fish01,top,3423,ClassicCV,1495.5,57.39424514770508,35.5297737121582,163.63960886001587
fish01,top,3424,ClassicCV,1470.5,57.0,34.0,161.98275482654572
fish01,top,3425,ClassicCV,1489.0,58.544395446777344,33.98551940917969,163.39696836471558
fish01,top,3426,ClassicCV,1521.5,59.54361343383789,34.29778289794922,165.98275482654572
fish01,top,3427,ClassicCV,1551.0,60.0,36.0,169.05382251739502
fish01,top,3428,ClassicCV,1585.0,61.0,37.0,173.88224959373474
fish01,top,3429,ClassicCV,1599.5,62.0,39.0,176.12489020824432
fish01,top,3430,ClassicCV,1605.0,62.0,40.0,180.71067678928375
fish01,top,3431,ClassicCV,1611.0,63.77754592895508,38.505149841308594,184.2253954410553
fish01,top,3432,ClassicCV,1562.0,64.06488800048828,37.51045608520508,180.22539567947388
fish01,top,3433,ClassicCV,1562.5,65.09927368164062,37.18239212036133,181.63960897922516
fish01,top,3434,ClassicCV,1596.0,66.0,38.0,183.0538226366043
fish01,top,3435,ClassicCV,1647.0,66.0,37.0,189.88224947452545
fish01,top,3436,ClassicCV,1656.0,67.0,35.0,189.0538226366043
fish01,top,3437,ClassicCV,1658.0,68.0,35.0,190.7106763124466
fish01,top,3438,ClassicCV,1693.5,69.01362609863281,35.63818359375,196.12489020824432
