FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px,Bbox_w_px,Bbox_h_px
fish11,front,2116,FastSAM,2922.5,67.0,47.0,216.87005722522736,51.31604,63.869934
fish11,front,2117,FastSAM,2914.0,67.0,47.0,217.4558436870575,54.772217,63.910645
fish11,front,2118,FastSAM,2915.0,67.0,47.0,217.4558436870575,57.11975,63.446594
fish11,front,2119,FastSAM,3755.0,75.0,55.0,248.28427076339722,53.794678,63.81067
fish11,front,2120,FastSAM,3749.0,75.0,55.0,248.28427076339722,58.624817,64.07385
fish11,front,2121,FastSAM,3750.0,75.0,55.0,248.28427076339722,57.108826,63.697754
fish11,front,2122,FastSAM,3759.0,75.0,55.0,248.28427076339722,56.31433,63.894653
fish11,front,2123,FastSAM,3755.0,75.0,55.0,248.28427076339722,60.80188,63.75354
fish11,front,2124,FastSAM,3754.0,75.0,55.0,248.28427076339722,63.15735,62.575424
fish11,front,2125,FastSAM,3754.0,75.0,55.0,248.28427076339722,62.85327,62.589355
fish11,front,2126,FastSAM,3752.0,75.0,55.0,248.28427076339722,61.629395,62.440857
fish11,front,2127,FastSAM,3733.0,75.0,55.0,248.28427076339722,61.52112,62.256577
fish11,front,2128,FastSAM,3725.0,75.0,55.0,248.28427076339722,58.0166,62.657104
fish11,front,2129,FastSAM,3727.0,75.0,55.0,248.28427076339722,57.999878,62.094666
fish11,front,2130,FastSAM,297469.0,637.0,467.0,2205.6568541526794,60.19409,61.864563
fish11,front,2131,FastSAM,298748.0,637.0,469.0,2210.8284270763397,60.582764,61.377014
fish11,front,2132,FastSAM,2934.5,67.0,47.0,218.04163014888763,61.6532,61.888947
fish11,front,2133,FastSAM,2937.0,67.0,47.0,218.62741661071777,61.00818,61.62683
fish11,front,2134,FastSAM,2938.0,67.0,47.0,218.62741661071777,59.59796,61.74597
fish11,front,2135,FastSAM,2981.5,66.99998474121094,46.99999237060547,220.3847759962082,59.572388,60.978455
fish11,front,2136,FastSAM,2963.5,66.99998474121094,46.99999237060547,220.3847759962082,57.174072,61.272552
fish11,front,2137,FastSAM,2980.5,66.99998474121094,46.99999237060547,220.3847759962082,60.921265,61.012146
fish11,front,2138,FastSAM,2916.5,66.0,47.0,216.04163014888763,60.331665,60.881653
fish11,front,2139,FastSAM,2966.5,67.0,47.0,219.2132030725479,59.272217,61.991394
fish11,front,2140,FastSAM,2958.0,67.0,47.0,218.62741661071777,59.76123,60.348022
fish11,front,2141,FastSAM,10025.0,131.0,79.0,415.94112491607666,60.29602,61.3609
fish11,front,2142,FastSAM,2966.0,67.0,47.0,218.62741661071777,61.532227,65.03822
fish11,front,2143,FastSAM,2971.5,67.0,47.0,219.2132030725479,57.723755,62.919678
fish11,front,2144,FastSAM,3674.0,75.0,55.0,245.94112491607666,59.92993,64.01367
fish11,front,2145,FastSAM,3664.5,75.0,54.0,244.5269113779068,58.808594,63.064575
fish11,front,2146,FastSAM,3673.0,75.0,55.0,245.94112491607666,57.374756,59.296005
fish11,front,2147,FastSAM,10439.0,131.0,83.0,424.4264061450958,43.128662,67.4303
fish11,front,2148,FastSAM,10439.0,131.0,83.0,424.4264061450958,42.808777,67.28888
fish11,front,2149,FastSAM,10437.0,131.0,83.0,424.4264061450958,42.598633,67.41455
fish11,front,2150,FastSAM,10473.0,131.0,83.0,422.7695519924164,43.140747,67.322754
