FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_SelectionMode
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,1.5228977966308594,20.271,40.02540238380432,0.34055224912784965,repeat
fish13,13.88,1164,58.2,20.0,20.0,10.548573287658762,7.500726811863081,5.066666666666666,63.80356465680697,30.510424540152577,1398,1085,429.2943001925812,251.1068618815104,708.3611620740916,13.96,2.66,22.5348,30.910210070610045,3.411426712341239,fallback
fish13,13.88,1644,82.2,20.0,20.0,10.515712281065747,7.594681091880817,5.2,68.73340917709517,31.367247327798395,1406,1326,426.1553634059576,250.8766080727472,705.1519714787048,13.96,2.66,22.5348,30.910210070610045,3.4442877189342536,fallback
fish13,13.88,1766,88.3,20.0,20.0,7.399945679268489,6.036797790982188,5.466666666666667,40.61433447098975,24.098662382100528,958,1144,427.9874821566358,251.0298631835938,698.1773453402295,13.96,2.66,22.5348,30.910210070610045,6.560054320731512,fallback
fish13,13.88,1903,95.15,20.0,20.0,8.839509002160169,6.421152562485757,5.866666666666666,44.40652256351914,25.4133465117294,976,1732,423.8576204245485,253.33040684762528,696.7080272721737,13.96,2.66,22.5348,30.910210070610045,5.120490997839832,fallback
fish13,13.88,2367,118.35,20.0,20.0,9.0041186063501,5.934748602092853,5.733333333333333,43.818733409177085,25.797145533604667,975,2060,426.4222475402079,251.55924474266905,697.4814922828768,13.96,2.66,22.5348,30.910210070610045,4.9558813936499,fallback
fish13,13.88,2767,138.35,20.0,20.0,7.399945679268489,6.036797790982188,4.0,36.329161926431546,22.58937295584373,908,458,429.18221303499945,252.55363278808588,699.8958458230853,13.96,2.66,22.5348,30.910210070610045,6.560054320731512,fallback
fish13,13.88,3088,154.4,20.0,20.0,6.795558254929278,6.365459856877545,4.133333333333333,35.87409935532802,22.80472674930873,802,546,428.19900121701096,253.41930012002524,697.6583013370362,13.96,2.66,22.5348,30.910210070610045,7.1644417450707225,fallback
fish13,13.88,3448,172.4,20.0,20.0,7.594681091880817,5.647326965757531,4.4,35.00189609404626,22.47020797840194,832,699,423.551918206787,251.3738899561457,691.5658081629327,13.96,2.66,22.5348,30.910210070610045,6.365318908119184,fallback
fish13,13.88,3700,185.0,20.0,20.0,8.423459508997826,5.3836447992588345,5.866666666666666,35.72241183162684,23.61093613687772,738,796,428.2033890697151,253.4356605326228,696.3990496023379,13.96,2.66,22.5348,30.910210070610045,5.5365404910021745,fallback
fish13,13.88,4571,228.55,20.0,20.0,7.20521026665616,6.036797790982188,4.133333333333333,40.064467197573,23.86345597691354,935,522,423.67891408390005,255.4279426796808,697.8068567635809,13.96,2.66,22.5348,30.910210070610045,6.7547897333438405,fallback
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,within
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,369,18.45,20.0,20.0,18.55739101683844,8.504534883343641,11.2,110.16306408797874,46.10456489961515,1345,3270,419.6803634059576,259.63135072401894,706.2117141299765,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.6798489733959308,repeat
fish14,12.32,382,19.1,20.0,20.0,18.255516361598296,9.83616484985292,5.333333333333333,124.13727720894954,46.68525060052106,1656,820,416.1645873601277,264.388925191074,713.6735125512017,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.9817236286360753,within
fish15,9.61,6131,306.55,20.0,20.0,20.896068652661537,14.071952759689596,6.0,234.4899507015548,58.25099643822182,3720,908,422.6340942681207,250.34286131361853,747.3769555817393,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,1.6633220706302865,fill
fish15,9.61,6132,306.6,20.0,20.0,19.314555081853246,13.950627926549526,5.733333333333333,215.16875237011752,56.27920906058307,3312,484,422.3383211045253,250.33695636570192,738.9152774702272,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,0.0818084998219959,within
fish15,9.61,6132,306.6,20.0,20.0,19.314555081853246,13.950627926549526,5.733333333333333,215.16875237011752,56.27920906058307,3312,484,422.3383211045253,250.33695636570192,738.9152774702272,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,0.0818084998219959,repeat
fish15,9.61,6132,306.6,20.0,20.0,19.314555081853246,13.950627926549526,5.733333333333333,215.16875237011752,56.27920906058307,3312,484,422.3383211045253,250.33695636570192,738.9152774702272,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,0.0818084998219959,repeat
fish15,9.61,6132,306.6,20.0,20.0,19.314555081853246,13.950627926549526,5.733333333333333,215.16875237011752,56.27920906058307,3312,484,422.3383211045253,250.33695636570192,738.9152774702272,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,0.0818084998219959,repeat
fish15,9.61,6132,306.6,20.0,20.0,19.314555081853246,13.950627926549526,5.733333333333333,215.16875237011752,56.27920906058307,3312,484,422.3383211045253,250.33695636570192,738.9152774702272,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,0.0818084998219959,repeat
fish15,9.61,6133,306.65,20.0,20.0,19.981393721566093,14.259755834081336,5.733333333333333,216.7993932499052,57.23206006793095,3404,518,421.8525956117794,250.33390949070187,740.2665051024813,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,0.7486471395348424,within
fish15,9.61,6134,306.7,20.0,20.0,20.671559545677024,14.707939077180246,5.066666666666666,232.2904816078877,59.31580209390539,3836,481,421.5913063873666,250.3336230323685,748.6449294197353,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,1.4388129636457734,within
fish15,9.61,6140,307.0,20.0,20.0,20.58593788865761,17.696229992808448,4.266666666666667,289.1922639362912,64.62365887063922,4749,696,420.9152007486791,250.35024737141924,766.2454481200983,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,1.3531913066263606,within
fish15,9.61,6141,307.05,20.0,20.0,21.605245664057225,18.50345071005817,4.133333333333333,312.1160409556313,67.23535981671337,4922,660,421.2973537113707,250.31960284016924,770.05695655154,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703,2.372499082025975,fill
fish2,16.0,267,13.35,20.0,20.0,5.987378881177877,3.394713358086545,3.0666666666666664,15.339400834281378,15.351669582348494,406,559,459.4053038191431,268.8519009226057,736.3772047417489,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,13.197541773118997,fallback
fish2,16.0,294,14.7,20.0,20.0,7.778479426093902,4.154656449814087,2.533333333333333,24.06143344709897,19.40283416923815,600,355,458.278875867886,268.6963345163557,738.9752103842418,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,11.406441228202972,fallback
fish2,16.0,1705,85.25,20.0,20.0,5.4525915531452025,2.726295776572601,2.6666666666666665,13.045127038301098,14.591252733794958,367,516,470.5185980785041,266.5823828097873,744.4409808882914,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,13.732329101151672,fallback
fish2,16.0,1832,91.6,20.0,20.0,10.24127132176285,5.36900978047574,3.2,46.22677284793325,27.54900388690989,820,310,465.67215691820326,269.11969396968414,751.1918508878874,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,8.943649332534024,fallback
fish2,16.0,1960,98.0,20.0,20.0,7.638752548118807,5.946333822915742,2.4,39.097459233978,23.16326428093678,1017,271,473.08694366048206,269.22131834486856,762.6482620053506,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,11.546168106178067,fallback
fish2,16.0,4171,208.55,20.0,20.0,42.288722116049584,8.681578422074534,5.066666666666666,260.0682593856655,91.34057161764774,2533,327,465.4756074191623,261.2675712479909,777.4031786671532,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,23.10380146175271,fallback
fish2,16.0,4999,249.95,20.0,20.0,69.83431306417071,17.9524590785777,1.4666666666666666,917.4819871065604,157.95793007091302,3912,277,477.9307940217005,260.5680402967665,816.7388343184671,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,50.64939240987384,fallback
fish2,16.0,5433,271.65,20.0,20.0,21.814153295762186,7.921041787886828,1.6,126.18505877891542,51.02557673329662,1482,302,472.59763453864576,260.6589517872704,762.8965863259161,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,2.629232641465311,fallback
fish2,16.0,5851,292.55,20.0,20.0,7.054154081972727,2.9610028195935763,2.4,15.301478953356083,16.661907134594223,404,519,465.950884750856,257.9848600247595,732.0157447756154,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,12.130766572324148,fallback
fish2,16.0,8713,435.65,20.0,20.0,33.93506438893768,9.354432714906787,2.2666666666666666,258.0773606370876,76.71167638760063,2792,346,449.83409285615534,256.03905916458774,761.7131520207431,19.184920654296874,2.5256196594238283,34.652,40.665335545539854,14.750143734640808,fallback
